ledger_entry_id,invoice_id,vendor_id,vendor_name,posting_date,transaction_type,amount,currency,reference,gl_account,cost_center,description,status
LED-0000648,INV-2026-000772,V0070,Royal Supplies Incorporated,2026-01-20,PAYMENT,17616.9,USD,INV-2026-000772,2020-AP-SERVICES,OPS,Payment against INV-2026-000772,POSTED
LED-0000449,INV-2026-000533,V0049,Seacrest Consulting Incorporated,2026-01-21,PAYMENT,1580147.78,LKR,INV-2026-000533,2000-AP,PROC,Payment against INV-2026-000533,POSTED
LED-0000752,INV-2026-000887,V0063,Fusion Consulting Incorporated,2026-01-21,PAYMENT,7051.14,EUR,INV-2026-000887,2020-AP-SERVICES,LOG,Payment against INV-2026-000887,POSTED
LED-0000216,INV-2026-000254,V0014,Delta Foods Corporation,2026-01-22,PAYMENT,5349.39,USD,INV-2026-000254,2000-AP,OPS,Payment against INV-2026-000254,POSTED
LED-0000238,INV-2026-000282,V0059,Seacrest Solutions Limited,2026-01-22,PAYMENT,370719.19,LKR,INV-2026-000282,2010-AP-TRADE,FIN,Payment against INV-2026-000282,POSTED
LED-0000565,INV-2026-000667,V0087,Orbit Trading Limited,2026-01-22,PAYMENT,9539.97,USD,INV-2026-000667,2020-AP-SERVICES,HR,Payment against INV-2026-000667,POSTED
LED-0001240,INV-2026-001456,V0009,Orbit Consulting Limited,2026-01-22,PAYMENT,15612.66,GBP,INV-2026-001456,2020-AP-SERVICES,IT,Payment against INV-2026-001456,POSTED
LED-0001390,INV-2026-001625,V0011,Nova Engineering Corporation,2026-01-22,PAYMENT,1881566.16,LKR,INV-2026-001625,2010-AP-TRADE,OPS,Payment against INV-2026-001625,POSTED
LED-0000271,INV-2026-000321,V0010,Silverline Systems Incorporated,2026-01-23,PAYMENT,19867.78,USD,INV-2026-000321,2000-AP,MKT,Payment against INV-2026-000321,POSTED
LED-0000416,INV-2026-000491,V0067,Unity Foods Corporation,2026-01-23,PAYMENT,13034.16,USD,INV-2026-000491,2010-AP-TRADE,MKT,Payment against INV-2026-000491,POSTED
LED-0001725,,V0011,Nova Engineering Corporation,2026-01-23,REVERSAL,2760.71,EUR,JRN-001725,6100-SERVICES,PROC,Vendor balance adjustment,POSTED
LED-0001752,,V0052,Apex Consulting Incorporated,2026-01-23,ACCRUAL,1023.38,USD,JRN-001752,6200-ADMIN,OPS,Manual adjustment,POSTED
LED-0001769,,V0045,Nova Solutions Corporation,2026-01-23,REVERSAL,1511.45,USD,JRN-001769,2000-AP,OPS,Reversal entry,POSTED
LED-0000018,INV-2026-000023,V0058,Harbor Logistics Limited,2026-01-24,PAYMENT,5339.9,USD,INV-2026-000023,2010-AP-TRADE,PROC,Payment against INV-2026-000023,POSTED
LED-0000716,INV-2026-000845,V0069,Keystone Technologies Incorporated,2026-01-24,PAYMENT,2439.56,USD,INV-2026-000845,2010-AP-TRADE,PROC,Payment against INV-2026-000845,POSTED
LED-0001727,,V0055,Lanka Systems Incorporated,2026-01-24,REVERSAL,2578.1,GBP,JRN-001727,6990-ADJUSTMENTS,PROC,Month-end accrual,POSTED
LED-0001736,,V0076,Royal Services Incorporated,2026-01-24,ACCRUAL,130398.57,LKR,JRN-001736,6100-SERVICES,OPS,Vendor balance adjustment,POSTED
LED-0001747,,V0074,Crescent Supplies Corporation,2026-01-24,REVERSAL,2761.27,USD,JRN-001747,2000-AP,FIN,Reversal entry,POSTED
LED-0000160,INV-2026-000187,V0038,Insight Services Limited,2026-01-25,PAYMENT,11411.08,USD,INV-2026-000187,2010-AP-TRADE,HR,Payment against INV-2026-000187,POSTED
LED-0001553,INV-2026-001822,V0054,Jade Industries Limited,2026-01-25,PAYMENT,7874.56,GBP,INV-2026-001822,2000-AP,IT,Payment against INV-2026-001822,POSTED
LED-0001092,INV-2026-001270,V0015,Titan Consulting Limited,2026-01-27,PAYMENT,17589.75,USD,INV-2026-001270,2020-AP-SERVICES,OPS,Payment against INV-2026-001270,POSTED
LED-0001619,INV-2026-001899,V0004,Delta Solutions Incorporated,2026-01-27,PAYMENT,7706.85,USD,INV-2026-001899,2020-AP-SERVICES,PROC,Payment against INV-2026-001899,POSTED
LED-0001698,INV-2026-001997,V0005,Nova Logistics Limited,2026-01-27,PAYMENT,6530.15,USD,INV-2026-001997,2010-AP-TRADE,MKT,Payment against INV-2026-001997,POSTED
LED-0001706,,V0030,Orbit Pharma Corporation,2026-01-27,ADJUSTMENT,2709.22,USD,JRN-001706,6100-SERVICES,OPS,Vendor balance adjustment,POSTED
LED-0001738,,V0037,Seacrest Holdings Limited,2026-01-27,REVERSAL,132.6,USD,JRN-001738,6100-SERVICES,MKT,Reversal entry,POSTED
LED-0000513,INV-2026-000607,V0047,Insight Technologies Incorporated,2026-01-28,PAYMENT,665395.13,LKR,INV-2026-000607,2000-AP,MKT,Payment against INV-2026-000607,POSTED
LED-0001558,INV-2026-001829,V0056,Silverline Technologies Incorporated,2026-01-28,PAYMENT,1853208.36,LKR,INV-2026-001829,2020-AP-SERVICES,LOG,Payment against INV-2026-001829,POSTED
LED-0000241,INV-2026-000285,V0013,Delta Solutions Corporation,2026-01-31,PAYMENT,1919.84,USD,INV-2026-000285,2020-AP-SERVICES,PROC,Payment against INV-2026-000285,POSTED
LED-0001107,INV-2026-001288,V0032,Keystone Logistics Limited,2026-01-31,PAYMENT,2639.11,USD,INV-2026-001288,2010-AP-TRADE,OPS,Payment against INV-2026-001288,POSTED
LED-0001629,INV-2026-001910,V0035,Global Engineering Limited,2026-02-01,PAYMENT,918345.39,LKR,INV-2026-001910,2000-AP,LOG,Payment against INV-2026-001910,POSTED
LED-0000081,INV-2026-000097,V0077,Pioneer Packaging Limited,2026-02-02,PAYMENT,6112.22,USD,INV-2026-000097,2010-AP-TRADE,OPS,Payment against INV-2026-000097,POSTED
LED-0000581,INV-2026-000687,V0076,Royal Services Incorporated,2026-02-02,PAYMENT,11503.69,USD,INV-2026-000687,2000-AP,MKT,Payment against INV-2026-000687,POSTED
LED-0000890,INV-2026-001043,V0022,Crescent Supplies Limited,2026-02-02,PAYMENT,19486.28,USD,INV-2026-001043,2000-AP,LOG,Payment against INV-2026-001043,POSTED
LED-0001441,INV-2026-001686,V0063,Fusion Consulting Incorporated,2026-02-02,PAYMENT,1860.7,GBP,INV-2026-001686,2010-AP-TRADE,FIN,Payment against INV-2026-001686,POSTED
LED-0001670,INV-2026-001960,V0009,Orbit Consulting Limited,2026-02-02,PAYMENT,2155790.82,LKR,INV-2026-001960,2020-AP-SERVICES,IT,Payment against INV-2026-001960,POSTED
LED-0000066,INV-2026-000078,V0017,Delta Pharma Limited,2026-02-03,PAYMENT,1819475.12,LKR,INV-2026-000078,2020-AP-SERVICES,FIN,Payment against INV-2026-000078,POSTED
LED-0000607,INV-2026-000722,V0025,Lanka Foods Limited,2026-02-03,PAYMENT,1850267.75,LKR,INV-2026-000722,2000-AP,LOG,Payment against INV-2026-000722,POSTED
LED-0000703,INV-2026-000831,V0077,Pioneer Packaging Limited,2026-02-03,PAYMENT,14481.19,USD,INV-2026-000831,2000-AP,FIN,Payment against INV-2026-000831,POSTED
LED-0000787,INV-2026-000926,V0056,Silverline Technologies Incorporated,2026-02-03,PAYMENT,1229.1,GBP,INV-2026-000926,2010-AP-TRADE,HR,Payment against INV-2026-000926,POSTED
LED-0001304,INV-2026-001527,V0024,Unity Foods Limited,2026-02-03,PAYMENT,798.19,GBP,INV-2026-001527,2020-AP-SERVICES,OPS,Payment against INV-2026-001527,POSTED
LED-0001761,,V0082,Redwood Logistics Incorporated,2026-02-03,ADJUSTMENT,842.18,EUR,JRN-001761,2000-AP,HR,Reversal entry,POSTED
LED-0000242,INV-2026-000286,V0002,Zenith Consulting Limited,2026-02-04,PAYMENT,289490.0,LKR,INV-2026-000286,2000-AP,IT,Payment against INV-2026-000286,POSTED
LED-0001292,INV-2026-001514,V0061,Silverline Services Limited,2026-02-04,PAYMENT,14028.67,GBP,INV-2026-001514,2010-AP-TRADE,MKT,Payment against INV-2026-001514,POSTED
LED-0001408,INV-2026-001650,V0009,Orbit Consulting Limited,2026-02-04,PAYMENT,8216.53,USD,INV-2026-001650,2010-AP-TRADE,MKT,Payment against INV-2026-001650,POSTED
LED-0001446,INV-2026-001695,V0036,Unity Packaging Corporation,2026-02-04,PAYMENT,8858.04,USD,INV-2026-001695,2000-AP,IT,Payment against INV-2026-001695,POSTED
LED-0000182,INV-2026-000215,V0039,Zenith Consulting Incorporated,2026-02-05,PAYMENT,19246.1,USD,INV-2026-000215,2020-AP-SERVICES,PROC,Payment against INV-2026-000215,POSTED
LED-0000463,INV-2026-000549,V0010,Silverline Systems Incorporated,2026-02-05,PAYMENT,9889.14,GBP,INV-2026-000549,2020-AP-SERVICES,IT,Payment against INV-2026-000549,POSTED
LED-0000800,INV-2026-000941,V0013,Delta Solutions Corporation,2026-02-05,PAYMENT,13138.8,USD,INV-2026-000941,2010-AP-TRADE,OPS,Payment against INV-2026-000941,POSTED
LED-0000889,INV-2026-001042,V0026,Vertex Consulting Incorporated,2026-02-05,PAYMENT,17140.09,GBP,INV-2026-001042,2010-AP-TRADE,HR,Payment against INV-2026-001042,POSTED
LED-0001274,INV-2026-001495,V0089,Pioneer Supplies Limited,2026-02-05,PAYMENT,1823765.65,LKR,INV-2026-001495,2000-AP,MKT,Payment against INV-2026-001495,POSTED
LED-0001517,INV-2026-001775,V0078,Northstar Packaging Corporation,2026-02-05,PAYMENT,225482.85,LKR,INV-2026-001775,2000-AP,LOG,Payment against INV-2026-001775,POSTED
LED-0001816,,V0071,Harbor Technologies Limited,2026-02-05,ACCRUAL,492.24,USD,JRN-001816,6100-SERVICES,HR,Prior-period correction,POSTED
LED-0000220,INV-2026-000258,V0015,Titan Consulting Limited,2026-02-06,PAYMENT,2294.13,GBP,INV-2026-000258,2000-AP,FIN,Payment against INV-2026-000258,POSTED
LED-0000389,INV-2026-000458,V0010,Silverline Systems Incorporated,2026-02-06,PAYMENT,1026677.16,LKR,INV-2026-000458,2020-AP-SERVICES,FIN,Payment against INV-2026-000458,POSTED
LED-0000580,INV-2026-000686,V0017,Delta Pharma Limited,2026-02-06,PAYMENT,1202.22,GBP,INV-2026-000686,2010-AP-TRADE,LOG,Payment against INV-2026-000686,POSTED
LED-0000926,INV-2026-001082,V0056,Silverline Technologies Incorporated,2026-02-06,PAYMENT,1425708.38,LKR,INV-2026-001082,2000-AP,IT,Payment against INV-2026-001082,POSTED
LED-0001014,INV-2026-001178,V0051,Nova Systems Corporation,2026-02-06,PAYMENT,504656.77,LKR,INV-2026-001178,2020-AP-SERVICES,OPS,Payment against INV-2026-001178,POSTED
LED-0001035,INV-2026-001202,V0041,Metro Foods Limited,2026-02-06,PAYMENT,10121.42,USD,INV-2026-001202,2020-AP-SERVICES,IT,Payment against INV-2026-001202,POSTED
LED-0001173,INV-2026-001372,V0061,Silverline Services Limited,2026-02-06,PAYMENT,4051.31,USD,INV-2026-001372,2000-AP,OPS,Payment against INV-2026-001372,POSTED
LED-0001571,INV-2026-001843,V0046,Metro Holdings Incorporated,2026-02-06,PAYMENT,8087.56,GBP,INV-2026-001843,2000-AP,MKT,Payment against INV-2026-001843,POSTED
LED-0000070,INV-2026-000082,V0057,Keystone Packaging Limited,2026-02-07,PAYMENT,12212.95,USD,INV-2026-000082,2010-AP-TRADE,LOG,Payment against INV-2026-000082,POSTED
LED-0000249,INV-2026-000295,V0061,Silverline Services Limited,2026-02-07,PAYMENT,1579.55,EUR,INV-2026-000295,2020-AP-SERVICES,IT,Payment against INV-2026-000295,POSTED
LED-0000253,INV-2026-000300,V0018,Royal Networks Incorporated,2026-02-07,PAYMENT,21925.86,USD,INV-2026-000300,2020-AP-SERVICES,OPS,Payment against INV-2026-000300,POSTED
LED-0000451,INV-2026-000537,V0042,Evergreen Packaging Limited,2026-02-07,PAYMENT,570297.59,LKR,INV-2026-000537,2000-AP,IT,Payment against INV-2026-000537,POSTED
LED-0000689,INV-2026-000816,V0019,Titan Foods Incorporated,2026-02-07,PAYMENT,5281.6,USD,INV-2026-000816,2010-AP-TRADE,LOG,Payment against INV-2026-000816,POSTED
LED-0000819,INV-2026-000966,V0067,Unity Foods Corporation,2026-02-07,PAYMENT,18932.08,USD,INV-2026-000966,2020-AP-SERVICES,IT,Payment against INV-2026-000966,POSTED
LED-0001729,,V0071,Harbor Technologies Limited,2026-02-07,REVERSAL,3555.44,USD,JRN-001729,6200-ADMIN,PROC,Manual adjustment,POSTED
LED-0000056,INV-2026-000068,V0051,Nova Systems Corporation,2026-02-08,PAYMENT,2783.1,EUR,INV-2026-000068,2000-AP,HR,Payment against INV-2026-000068,POSTED
LED-0000204,INV-2026-000241,V0050,Keystone Trading Corporation,2026-02-08,PAYMENT,7829.46,USD,INV-2026-000241,2010-AP-TRADE,LOG,Payment against INV-2026-000241,POSTED
LED-0000243,INV-2026-000287,V0050,Keystone Trading Corporation,2026-02-08,PAYMENT,6857.38,USD,INV-2026-000287,2020-AP-SERVICES,MKT,Payment against INV-2026-000287,POSTED
LED-0000760,INV-2026-000895,V0063,Fusion Consulting Incorporated,2026-02-08,PAYMENT,3708.5,USD,INV-2026-000895,2020-AP-SERVICES,OPS,Payment against INV-2026-000895,POSTED
LED-0000899,INV-2026-001053,V0005,Nova Logistics Limited,2026-02-08,PAYMENT,6964.09,EUR,INV-2026-001053,2000-AP,PROC,Payment against INV-2026-001053,POSTED
LED-0001128,INV-2026-001314,V0049,Seacrest Consulting Incorporated,2026-02-08,PAYMENT,13064.23,USD,INV-2026-001314,2010-AP-TRADE,PROC,Payment against INV-2026-001314,POSTED
LED-0001235,INV-2026-001451,V0053,Pioneer Trading Incorporated,2026-02-08,PAYMENT,5852.15,EUR,INV-2026-001451,2020-AP-SERVICES,IT,Payment against INV-2026-001451,POSTED
LED-0001621,INV-2026-001901,V0078,Northstar Packaging Corporation,2026-02-08,PAYMENT,7480.42,USD,INV-2026-001901,2020-AP-SERVICES,PROC,Payment against INV-2026-001901,POSTED
LED-0001640,INV-2026-001925,V0005,Nova Logistics Limited,2026-02-08,PAYMENT,1418471.47,LKR,INV-2026-001925,2000-AP,HR,Payment against INV-2026-001925,POSTED
LED-0000009,INV-2026-000012,V0006,Crescent Industries Limited,2026-02-09,PAYMENT,19324.45,USD,INV-2026-000012,2020-AP-SERVICES,FIN,Payment against INV-2026-000012,POSTED
LED-0000171,INV-2026-000201,V0061,Silverline Services Limited,2026-02-09,PAYMENT,3698.03,USD,INV-2026-000201,2000-AP,HR,Payment against INV-2026-000201,POSTED
LED-0000522,INV-2026-000619,V0036,Unity Packaging Corporation,2026-02-09,PAYMENT,12575.04,USD,INV-2026-000619,2020-AP-SERVICES,LOG,Payment against INV-2026-000619,POSTED
LED-0000578,INV-2026-000683,V0003,Harbor Services Incorporated,2026-02-09,PAYMENT,8063.94,USD,INV-2026-000683,2020-AP-SERVICES,IT,Payment against INV-2026-000683,POSTED
LED-0001402,INV-2026-001641,V0012,Evergreen Industries Corporation,2026-02-09,PAYMENT,418.32,GBP,INV-2026-001641,2010-AP-TRADE,LOG,Payment against INV-2026-001641,POSTED
LED-0001697,INV-2026-001996,V0035,Global Engineering Limited,2026-02-09,PAYMENT,2187992.65,LKR,INV-2026-001996,2010-AP-TRADE,HR,Payment against INV-2026-001996,POSTED
LED-0001813,,V0089,Pioneer Supplies Limited,2026-02-09,ACCRUAL,3567.46,EUR,JRN-001813,6990-ADJUSTMENTS,PROC,Manual adjustment,POSTED
LED-0000071,INV-2026-000084,V0056,Silverline Technologies Incorporated,2026-02-10,PAYMENT,1515766.8,LKR,INV-2026-000084,2000-AP,HR,Payment against INV-2026-000084,POSTED
LED-0000435,INV-2026-000517,V0014,Delta Foods Corporation,2026-02-10,PAYMENT,11022.86,USD,INV-2026-000517,2020-AP-SERVICES,MKT,Payment against INV-2026-000517,POSTED
LED-0000503,INV-2026-000597,V0058,Harbor Logistics Limited,2026-02-10,PAYMENT,13989.46,USD,INV-2026-000597,2000-AP,IT,Payment against INV-2026-000597,POSTED
LED-0000873,INV-2026-001025,V0065,Pioneer Industries Incorporated,2026-02-10,PAYMENT,17237.66,USD,INV-2026-001025,2020-AP-SERVICES,HR,Payment against INV-2026-001025,POSTED
LED-0000934,INV-2026-001090,V0052,Apex Consulting Incorporated,2026-02-10,PAYMENT,20449.52,USD,INV-2026-001090,2020-AP-SERVICES,FIN,Payment against INV-2026-001090,POSTED
LED-0001552,INV-2026-001821,V0019,Titan Foods Incorporated,2026-02-10,PAYMENT,11345.57,USD,INV-2026-001821,2020-AP-SERVICES,PROC,Payment against INV-2026-001821,POSTED
LED-0000077,INV-2026-000091,V0035,Global Engineering Limited,2026-02-11,PAYMENT,15216.82,USD,INV-2026-000091,2020-AP-SERVICES,IT,Payment against INV-2026-000091,POSTED
LED-0000296,INV-2026-000351,V0090,Nova Packaging Corporation,2026-02-11,PAYMENT,7997.76,GBP,INV-2026-000351,2020-AP-SERVICES,FIN,Payment against INV-2026-000351,POSTED
LED-0000336,INV-2026-000397,V0002,Zenith Consulting Limited,2026-02-11,PAYMENT,1274846.88,LKR,INV-2026-000397,2000-AP,MKT,Payment against INV-2026-000397,POSTED
LED-0000499,INV-2026-000593,V0059,Seacrest Solutions Limited,2026-02-11,PAYMENT,12759.15,EUR,INV-2026-000593,2000-AP,HR,Payment against INV-2026-000593,POSTED
LED-0001012,INV-2026-001176,V0075,Vertex Packaging Limited,2026-02-11,PAYMENT,855765.69,LKR,INV-2026-001176,2010-AP-TRADE,HR,Payment against INV-2026-001176,POSTED
LED-0001192,INV-2026-001394,V0057,Keystone Packaging Limited,2026-02-11,PAYMENT,4680.3,EUR,INV-2026-001394,2020-AP-SERVICES,PROC,Payment against INV-2026-001394,POSTED
LED-0001414,INV-2026-001657,V0028,Unity Systems Incorporated,2026-02-11,PAYMENT,10269.82,USD,INV-2026-001657,2020-AP-SERVICES,IT,Payment against INV-2026-001657,POSTED
LED-0000392,INV-2026-000463,V0030,Orbit Pharma Corporation,2026-02-12,PAYMENT,19618.84,EUR,INV-2026-000463,2020-AP-SERVICES,HR,Payment against INV-2026-000463,POSTED
LED-0000461,INV-2026-000547,V0023,Metro Consulting Corporation,2026-02-12,PAYMENT,9769.16,USD,INV-2026-000547,2010-AP-TRADE,PROC,Payment against INV-2026-000547,POSTED
LED-0000500,INV-2026-000594,V0081,Nova Textiles Corporation,2026-02-12,PAYMENT,9567.0,USD,INV-2026-000594,2000-AP,FIN,Payment against INV-2026-000594,POSTED
LED-0000511,INV-2026-000605,V0045,Nova Solutions Corporation,2026-02-12,PAYMENT,102411.39,LKR,INV-2026-000605,2000-AP,IT,Payment against INV-2026-000605,POSTED
LED-0000667,INV-2026-000792,V0025,Lanka Foods Limited,2026-02-12,PAYMENT,1824654.62,LKR,INV-2026-000792,2020-AP-SERVICES,HR,Payment against INV-2026-000792,POSTED
LED-0001041,INV-2026-001210,V0080,Vertex Textiles Corporation,2026-02-12,PAYMENT,1070.94,USD,INV-2026-001210,2000-AP,OPS,Payment against INV-2026-001210,POSTED
LED-0001221,INV-2026-001432,V0048,Zenith Trading Incorporated,2026-02-12,PAYMENT,23056.78,EUR,INV-2026-001432,2020-AP-SERVICES,LOG,Payment against INV-2026-001432,POSTED
LED-0000338,INV-2026-000399,V0023,Metro Consulting Corporation,2026-02-13,PAYMENT,17340.19,USD,INV-2026-000399,2020-AP-SERVICES,IT,Payment against INV-2026-000399,POSTED
LED-0000912,INV-2026-001067,V0035,Global Engineering Limited,2026-02-13,PAYMENT,18381.17,GBP,INV-2026-001067,2000-AP,FIN,Payment against INV-2026-001067,POSTED
LED-0001043,INV-2026-001212,V0015,Titan Consulting Limited,2026-02-13,PAYMENT,6328.22,USD,INV-2026-001212,2020-AP-SERVICES,PROC,Payment against INV-2026-001212,POSTED
LED-0001647,INV-2026-001934,V0033,BrightPath Logistics Corporation,2026-02-13,PAYMENT,11496.37,USD,INV-2026-001934,2010-AP-TRADE,PROC,Payment against INV-2026-001934,POSTED
LED-0001782,,V0072,Westbridge Logistics Limited,2026-02-13,ACCRUAL,475615.52,LKR,JRN-001782,6200-ADMIN,IT,Reversal entry,POSTED
LED-0000225,INV-2026-000267,V0080,Vertex Textiles Corporation,2026-02-14,PAYMENT,9754.03,USD,INV-2026-000267,2020-AP-SERVICES,LOG,Payment against INV-2026-000267,POSTED
LED-0000480,INV-2026-000572,V0011,Nova Engineering Corporation,2026-02-14,PAYMENT,18984.95,USD,INV-2026-000572,2010-AP-TRADE,OPS,Payment against INV-2026-000572,POSTED
LED-0000668,INV-2026-000793,V0083,Metro Engineering Limited,2026-02-14,PAYMENT,5541.51,USD,INV-2026-000793,2020-AP-SERVICES,PROC,Payment against INV-2026-000793,POSTED
LED-0000902,INV-2026-001056,V0031,Pioneer Supplies Incorporated,2026-02-14,PAYMENT,6078.22,USD,INV-2026-001056,2000-AP,LOG,Payment against INV-2026-001056,POSTED
LED-0000980,INV-2026-001141,V0035,Global Engineering Limited,2026-02-14,PAYMENT,7916.95,USD,INV-2026-001141,2010-AP-TRADE,OPS,Payment against INV-2026-001141,POSTED
LED-0001363,INV-2026-001594,V0090,Nova Packaging Corporation,2026-02-14,PAYMENT,9209.81,USD,INV-2026-001594,2020-AP-SERVICES,IT,Payment against INV-2026-001594,POSTED
LED-0001473,INV-2026-001724,V0084,Harbor Industries Limited,2026-02-14,PAYMENT,2828.14,EUR,INV-2026-001724,2020-AP-SERVICES,HR,Payment against INV-2026-001724,POSTED
LED-0001474,INV-2026-001725,V0021,Vertex Supplies Corporation,2026-02-14,PAYMENT,6708.54,EUR,INV-2026-001725,2020-AP-SERVICES,FIN,Payment against INV-2026-001725,POSTED
LED-0000254,INV-2026-000301,V0035,Global Engineering Limited,2026-02-15,PAYMENT,17458.53,USD,INV-2026-000301,2020-AP-SERVICES,PROC,Payment against INV-2026-000301,POSTED
LED-0000371,INV-2026-000433,V0020,Global Solutions Limited,2026-02-15,PAYMENT,14143.46,USD,INV-2026-000433,2000-AP,MKT,Payment against INV-2026-000433,POSTED
LED-0000403,INV-2026-000477,V0070,Royal Supplies Incorporated,2026-02-15,PAYMENT,8483.2,EUR,INV-2026-000477,2000-AP,MKT,Payment against INV-2026-000477,POSTED
LED-0000448,INV-2026-000532,V0019,Titan Foods Incorporated,2026-02-15,PAYMENT,920037.96,LKR,INV-2026-000532,2020-AP-SERVICES,FIN,Payment against INV-2026-000532,POSTED
LED-0000613,INV-2026-000731,V0062,Vertex Packaging Incorporated,2026-02-15,PAYMENT,11958.93,GBP,INV-2026-000731,2000-AP,LOG,Payment against INV-2026-000731,POSTED
LED-0000779,INV-2026-000918,V0084,Harbor Industries Limited,2026-02-15,PAYMENT,18596.06,USD,INV-2026-000918,2000-AP,PROC,Payment against INV-2026-000918,POSTED
LED-0000981,INV-2026-001142,V0070,Royal Supplies Incorporated,2026-02-15,PAYMENT,12949.81,USD,INV-2026-001142,2000-AP,FIN,Payment against INV-2026-001142,POSTED
LED-0001110,INV-2026-001292,V0065,Pioneer Industries Incorporated,2026-02-15,PAYMENT,21264.14,USD,INV-2026-001292,2000-AP,IT,Payment against INV-2026-001292,POSTED
LED-0001746,,V0080,Vertex Textiles Corporation,2026-02-15,ADJUSTMENT,1114.9,USD,JRN-001746,6100-SERVICES,OPS,Reversal entry,POSTED
LED-0000278,INV-2026-000329,V0069,Keystone Technologies Incorporated,2026-02-16,PAYMENT,18643.37,EUR,INV-2026-000329,2010-AP-TRADE,FIN,Payment against INV-2026-000329,POSTED
LED-0000363,INV-2026-000425,V0067,Unity Foods Corporation,2026-02-16,PAYMENT,3550.73,USD,INV-2026-000425,2010-AP-TRADE,OPS,Payment against INV-2026-000425,POSTED
LED-0000483,INV-2026-000575,V0068,Harbor Supplies Limited,2026-02-16,PAYMENT,1314.99,USD,INV-2026-000575,2000-AP,HR,Payment against INV-2026-000575,POSTED
LED-0000514,INV-2026-000608,V0071,Harbor Technologies Limited,2026-02-16,PAYMENT,3297.83,USD,INV-2026-000608,2010-AP-TRADE,LOG,Payment against INV-2026-000608,POSTED
LED-0000720,INV-2026-000851,V0051,Nova Systems Corporation,2026-02-16,PAYMENT,2549.92,USD,INV-2026-000851,2000-AP,MKT,Payment against INV-2026-000851,POSTED
LED-0000834,INV-2026-000983,V0025,Lanka Foods Limited,2026-02-16,PAYMENT,18836.17,USD,INV-2026-000983,2010-AP-TRADE,IT,Payment against INV-2026-000983,POSTED
LED-0000898,INV-2026-001052,V0041,Metro Foods Limited,2026-02-16,PAYMENT,13632.08,USD,INV-2026-001052,2000-AP,LOG,Payment against INV-2026-001052,POSTED
LED-0001190,INV-2026-001391,V0082,Redwood Logistics Incorporated,2026-02-16,PAYMENT,18548.85,USD,INV-2026-001391,2000-AP,LOG,Payment against INV-2026-001391,POSTED
