invoice_id,scenario,expected_action,ledger_entry_ids,bank_transaction_ids
INV-2026-000027,unpaid,NO_BANK_PAYMENT_EXPECTED,,
INV-2026-000028,name_variation,AUTO_RECONCILE_OR_LOW_RISK_REVIEW,LED-0000021,BNK-00000026
INV-2026-000029,name_variation,AUTO_RECONCILE_OR_LOW_RISK_REVIEW,LED-0000022,BNK-00000027
INV-2026-000030,exact,AUTO_RECONCILE,LED-0000023,BNK-00000028
INV-2026-000031,name_variation,AUTO_RECONCILE_OR_LOW_RISK_REVIEW,LED-0000024,BNK-00000029
INV-2026-000032,name_variation,AUTO_RECONCILE_OR_LOW_RISK_REVIEW,LED-0000025,BNK-00000030
INV-2026-000033,exact,AUTO_RECONCILE,LED-0000026,BNK-00000031
INV-2026-000034,date_shift,INVESTIGATE_DATE_DIFFERENCE,LED-0000027,BNK-00000032
INV-2026-000035,unpaid,NO_BANK_PAYMENT_EXPECTED,,
INV-2026-000036,exact,AUTO_RECONCILE,LED-0000028,BNK-00000033
INV-2026-000037,exact,AUTO_RECONCILE,LED-0000029,BNK-00000034
INV-2026-000038,exact,AUTO_RECONCILE,LED-0000030,BNK-00000035
INV-2026-000039,exact,AUTO_RECONCILE,LED-0000031,BNK-00000036
INV-2026-000040,name_variation,AUTO_RECONCILE_OR_LOW_RISK_REVIEW,LED-0000032,BNK-00000037
INV-2026-000041,amount_mismatch,MANUAL_REVIEW_AMOUNT_MISMATCH,LED-0000033,BNK-00000038
INV-2026-000042,exact,AUTO_RECONCILE,LED-0000034,BNK-00000039
INV-2026-000043,exact,AUTO_RECONCILE,LED-0000035,BNK-00000040
INV-2026-000044,unpaid,NO_BANK_PAYMENT_EXPECTED,,
INV-2026-000045,duplicate_payment,FLAG_DUPLICATE_PAYMENT,LED-0000036,BNK-00000041|BNK-00000042
INV-2026-000046,exact,AUTO_RECONCILE,LED-0000037,BNK-00000043
INV-2026-000047,date_shift,INVESTIGATE_DATE_DIFFERENCE,LED-0000038,BNK-00000044
INV-2026-000048,exact,AUTO_RECONCILE,LED-0000039,BNK-00000045
INV-2026-000049,exact,AUTO_RECONCILE,LED-0000040,BNK-00000046
INV-2026-000050,exact,AUTO_RECONCILE,LED-0000041,BNK-00000047
INV-2026-000051,exact,AUTO_RECONCILE,LED-0000042,BNK-00000048
INV-2026-000052,name_variation,AUTO_RECONCILE_OR_LOW_RISK_REVIEW,LED-0000043,BNK-00000049
INV-2026-000053,date_shift,INVESTIGATE_DATE_DIFFERENCE,LED-0000044,BNK-00000050
INV-2026-000054,unpaid,NO_BANK_PAYMENT_EXPECTED,,
INV-2026-000055,exact,AUTO_RECONCILE,LED-0000045,BNK-00000051
INV-2026-000056,unpaid,NO_BANK_PAYMENT_EXPECTED,,
INV-2026-000057,exact,AUTO_RECONCILE,LED-0000046,BNK-00000052
INV-2026-000058,exact,AUTO_RECONCILE,LED-0000047,BNK-00000053
INV-2026-000059,exact,AUTO_RECONCILE,LED-0000048,BNK-00000054
INV-2026-000060,date_shift,INVESTIGATE_DATE_DIFFERENCE,LED-0000049,BNK-00000055
INV-2026-000061,exact,AUTO_RECONCILE,LED-0000050,BNK-00000056
INV-2026-000062,exact,AUTO_RECONCILE,LED-0000051,BNK-00000057
INV-2026-000063,exact,AUTO_RECONCILE,LED-0000052,BNK-00000058
INV-2026-000064,duplicate_payment,FLAG_DUPLICATE_PAYMENT,LED-0000053,BNK-00000059|BNK-00000060
INV-2026-000065,unpaid,NO_BANK_PAYMENT_EXPECTED,,
INV-2026-000066,exact,AUTO_RECONCILE,LED-0000054,BNK-00000061
INV-2026-000067,exact,AUTO_RECONCILE,LED-0000055,BNK-00000062
INV-2026-000068,name_variation,AUTO_RECONCILE_OR_LOW_RISK_REVIEW,LED-0000056,BNK-00000063
INV-2026-000069,exact,AUTO_RECONCILE,LED-0000057,BNK-00000064
INV-2026-000070,date_shift,INVESTIGATE_DATE_DIFFERENCE,LED-0000058,BNK-00000065
INV-2026-000071,split_payment,RECONCILE_SPLIT_PAYMENT,LED-0000059,BNK-00000066|BNK-00000067
INV-2026-000072,amount_mismatch,MANUAL_REVIEW_AMOUNT_MISMATCH,LED-0000060,BNK-00000068
INV-2026-000073,exact,AUTO_RECONCILE,LED-0000061,BNK-00000069
INV-2026-000074,exact,AUTO_RECONCILE,LED-0000062,BNK-00000070
INV-2026-000075,amount_mismatch,MANUAL_REVIEW_AMOUNT_MISMATCH,LED-0000063,BNK-00000071
INV-2026-000076,exact,AUTO_RECONCILE,LED-0000064,BNK-00000072
INV-2026-000077,exact,AUTO_RECONCILE,LED-0000065,BNK-00000073
INV-2026-000078,exact,AUTO_RECONCILE,LED-0000066,BNK-00000074
INV-2026-000079,exact,AUTO_RECONCILE,LED-0000067,BNK-00000075
INV-2026-000080,exact,AUTO_RECONCILE,LED-0000068,BNK-00000076
INV-2026-000081,name_variation,AUTO_RECONCILE_OR_LOW_RISK_REVIEW,LED-0000069,BNK-00000077
INV-2026-000082,bank_fee,REVIEW_POSSIBLE_BANK_FEE,LED-0000070,BNK-00000078
INV-2026-000083,unpaid,NO_BANK_PAYMENT_EXPECTED,,
INV-2026-000084,date_shift,INVESTIGATE_DATE_DIFFERENCE,LED-0000071,BNK-00000079
INV-2026-000085,bank_fee,REVIEW_POSSIBLE_BANK_FEE,LED-0000072,BNK-00000080
INV-2026-000086,exact,AUTO_RECONCILE,LED-0000073,BNK-00000081
INV-2026-000087,name_variation,AUTO_RECONCILE_OR_LOW_RISK_REVIEW,LED-0000074,BNK-00000082
INV-2026-000088,unpaid,NO_BANK_PAYMENT_EXPECTED,,
INV-2026-000089,split_payment,RECONCILE_SPLIT_PAYMENT,LED-0000075,BNK-00000083|BNK-00000084
INV-2026-000090,name_variation,AUTO_RECONCILE_OR_LOW_RISK_REVIEW,LED-0000076,BNK-00000085
INV-2026-000091,date_shift,INVESTIGATE_DATE_DIFFERENCE,LED-0000077,BNK-00000086
INV-2026-000092,unpaid,NO_BANK_PAYMENT_EXPECTED,,
INV-2026-000093,date_shift,INVESTIGATE_DATE_DIFFERENCE,LED-0000078,BNK-00000087
INV-2026-000094,unpaid,NO_BANK_PAYMENT_EXPECTED,,
INV-2026-000095,exact,AUTO_RECONCILE,LED-0000079,BNK-00000088
INV-2026-000096,amount_mismatch,MANUAL_REVIEW_AMOUNT_MISMATCH,LED-0000080,BNK-00000089
INV-2026-000097,exact,AUTO_RECONCILE,LED-0000081,BNK-00000090
INV-2026-000098,amount_mismatch,MANUAL_REVIEW_AMOUNT_MISMATCH,LED-0000082,BNK-00000091
INV-2026-000099,date_shift,INVESTIGATE_DATE_DIFFERENCE,LED-0000083,BNK-00000092
INV-2026-000100,exact,AUTO_RECONCILE,LED-0000084,BNK-00000093
INV-2026-000101,unpaid,NO_BANK_PAYMENT_EXPECTED,,
INV-2026-000102,exact,AUTO_RECONCILE,LED-0000085,BNK-00000094
INV-2026-000103,unpaid,NO_BANK_PAYMENT_EXPECTED,,
INV-2026-000104,exact,AUTO_RECONCILE,LED-0000086,BNK-00000095
INV-2026-000105,bank_fee,REVIEW_POSSIBLE_BANK_FEE,LED-0000087,BNK-00000096
INV-2026-000106,exact,AUTO_RECONCILE,LED-0000088,BNK-00000097
INV-2026-000107,exact,AUTO_RECONCILE,LED-0000089,BNK-00000098
INV-2026-000108,bank_fee,REVIEW_POSSIBLE_BANK_FEE,LED-0000090,BNK-00000099
INV-2026-000109,exact,AUTO_RECONCILE,LED-0000091,BNK-00000100
INV-2026-000110,unpaid,NO_BANK_PAYMENT_EXPECTED,,
INV-2026-000111,date_shift,INVESTIGATE_DATE_DIFFERENCE,LED-0000092,BNK-00000101
INV-2026-000112,duplicate_payment,FLAG_DUPLICATE_PAYMENT,LED-0000093,BNK-00000102|BNK-00000103
INV-2026-000113,unpaid,NO_BANK_PAYMENT_EXPECTED,,
INV-2026-000114,date_shift,INVESTIGATE_DATE_DIFFERENCE,LED-0000094,BNK-00000104
INV-2026-000115,amount_mismatch,MANUAL_REVIEW_AMOUNT_MISMATCH,LED-0000095,BNK-00000105
INV-2026-000116,exact,AUTO_RECONCILE,LED-0000096,BNK-00000106
INV-2026-000117,exact,AUTO_RECONCILE,LED-0000097,BNK-00000107
INV-2026-000118,name_variation,AUTO_RECONCILE_OR_LOW_RISK_REVIEW,LED-0000098,BNK-00000108
INV-2026-000119,amount_mismatch,MANUAL_REVIEW_AMOUNT_MISMATCH,LED-0000099,BNK-00000109
INV-2026-000120,exact,AUTO_RECONCILE,LED-0000100,BNK-00000110
INV-2026-000121,exact,AUTO_RECONCILE,LED-0000101,BNK-00000111
INV-2026-000122,date_shift,INVESTIGATE_DATE_DIFFERENCE,LED-0000102,BNK-00000112
INV-2026-000123,exact,AUTO_RECONCILE,LED-0000103,BNK-00000113
INV-2026-000124,exact,AUTO_RECONCILE,LED-0000104,BNK-00000114
INV-2026-000125,exact,AUTO_RECONCILE,LED-0000105,BNK-00000115
INV-2026-000126,exact,AUTO_RECONCILE,LED-0000106,BNK-00000116
INV-2026-000127,date_shift,INVESTIGATE_DATE_DIFFERENCE,LED-0000107,BNK-00000117
INV-2026-000128,exact,AUTO_RECONCILE,LED-0000108,BNK-00000118
INV-2026-000129,exact,AUTO_RECONCILE,LED-0000109,BNK-00000119
INV-2026-000130,missing_ledger,FLAG_MISSING_LEDGER_ENTRY,,BNK-00000120
INV-2026-000131,date_shift,INVESTIGATE_DATE_DIFFERENCE,LED-0000110,BNK-00000121
INV-2026-000132,exact,AUTO_RECONCILE,LED-0000111,BNK-00000122
INV-2026-000133,date_shift,INVESTIGATE_DATE_DIFFERENCE,LED-0000112,BNK-00000123
INV-2026-000134,exact,AUTO_RECONCILE,LED-0000113,BNK-00000124
INV-2026-000135,amount_mismatch,MANUAL_REVIEW_AMOUNT_MISMATCH,LED-0000114,BNK-00000125
INV-2026-000136,name_variation,AUTO_RECONCILE_OR_LOW_RISK_REVIEW,LED-0000115,BNK-00000126
INV-2026-000137,bank_fee,REVIEW_POSSIBLE_BANK_FEE,LED-0000116,BNK-00000127
INV-2026-000138,exact,AUTO_RECONCILE,LED-0000117,BNK-00000128
INV-2026-000139,date_shift,INVESTIGATE_DATE_DIFFERENCE,LED-0000118,BNK-00000129
INV-2026-000140,exact,AUTO_RECONCILE,LED-0000119,BNK-00000130
INV-2026-000141,exact,AUTO_RECONCILE,LED-0000120,BNK-00000131
INV-2026-000142,missing_ledger,FLAG_MISSING_LEDGER_ENTRY,,BNK-00000132
INV-2026-000143,split_payment,RECONCILE_SPLIT_PAYMENT,LED-0000121,BNK-00000133|BNK-00000134
INV-2026-000144,exact,AUTO_RECONCILE,LED-0000122,BNK-00000135
INV-2026-000145,exact,AUTO_RECONCILE,LED-0000123,BNK-00000136
INV-2026-000146,exact,AUTO_RECONCILE,LED-0000124,BNK-00000137
INV-2026-000147,split_payment,RECONCILE_SPLIT_PAYMENT,LED-0000125,BNK-00000138|BNK-00000139
INV-2026-000148,exact,AUTO_RECONCILE,LED-0000126,BNK-00000140
INV-2026-000149,duplicate_payment,FLAG_DUPLICATE_PAYMENT,LED-0000127,BNK-00000141|BNK-00000142
INV-2026-000150,bank_fee,REVIEW_POSSIBLE_BANK_FEE,LED-0000128,BNK-00000143
INV-2026-000151,date_shift,INVESTIGATE_DATE_DIFFERENCE,LED-0000129,BNK-00000144
INV-2026-000152,exact,AUTO_RECONCILE,LED-0000130,BNK-00000145
INV-2026-000153,exact,AUTO_RECONCILE,LED-0000131,BNK-00000146
INV-2026-000154,date_shift,INVESTIGATE_DATE_DIFFERENCE,LED-0000132,BNK-00000147
INV-2026-000155,exact,AUTO_RECONCILE,LED-0000133,BNK-00000148
INV-2026-000156,exact,AUTO_RECONCILE,LED-0000134,BNK-00000149
INV-2026-000157,exact,AUTO_RECONCILE,LED-0000135,BNK-00000150
INV-2026-000158,exact,AUTO_RECONCILE,LED-0000136,BNK-00000151
INV-2026-000159,date_shift,INVESTIGATE_DATE_DIFFERENCE,LED-0000137,BNK-00000152
INV-2026-000160,exact,AUTO_RECONCILE,LED-0000138,BNK-00000153
INV-2026-000161,exact,AUTO_RECONCILE,LED-0000139,BNK-00000154
INV-2026-000162,exact,AUTO_RECONCILE,LED-0000140,BNK-00000155
INV-2026-000163,name_variation,AUTO_RECONCILE_OR_LOW_RISK_REVIEW,LED-0000141,BNK-00000156
INV-2026-000164,exact,AUTO_RECONCILE,LED-0000142,BNK-00000157
INV-2026-000165,name_variation,AUTO_RECONCILE_OR_LOW_RISK_REVIEW,LED-0000143,BNK-00000158
INV-2026-000166,unpaid,NO_BANK_PAYMENT_EXPECTED,,
INV-2026-000167,exact,AUTO_RECONCILE,LED-0000144,BNK-00000159
INV-2026-000168,name_variation,AUTO_RECONCILE_OR_LOW_RISK_REVIEW,LED-0000145,BNK-00000160
INV-2026-000169,exact,AUTO_RECONCILE,LED-0000146,BNK-00000161
INV-2026-000170,exact,AUTO_RECONCILE,LED-0000147,BNK-00000162
INV-2026-000171,exact,AUTO_RECONCILE,LED-0000148,BNK-00000163
INV-2026-000172,unpaid,NO_BANK_PAYMENT_EXPECTED,,
INV-2026-000173,exact,AUTO_RECONCILE,LED-0000149,BNK-00000164
INV-2026-000174,exact,AUTO_RECONCILE,LED-0000150,BNK-00000165
INV-2026-000175,date_shift,INVESTIGATE_DATE_DIFFERENCE,LED-0000151,BNK-00000166
INV-2026-000176,unpaid,NO_BANK_PAYMENT_EXPECTED,,
INV-2026-000177,amount_mismatch,MANUAL_REVIEW_AMOUNT_MISMATCH,LED-0000152,BNK-00000167
INV-2026-000178,date_shift,INVESTIGATE_DATE_DIFFERENCE,LED-0000153,BNK-00000168
INV-2026-000179,exact,AUTO_RECONCILE,LED-0000154,BNK-00000169
INV-2026-000180,split_payment,RECONCILE_SPLIT_PAYMENT,LED-0000155,BNK-00000170|BNK-00000171
INV-2026-000181,date_shift,INVESTIGATE_DATE_DIFFERENCE,LED-0000156,BNK-00000172
INV-2026-000182,unpaid,NO_BANK_PAYMENT_EXPECTED,,
INV-2026-000183,amount_mismatch,MANUAL_REVIEW_AMOUNT_MISMATCH,LED-0000157,BNK-00000173
INV-2026-000184,unpaid,NO_BANK_PAYMENT_EXPECTED,,
INV-2026-000185,name_variation,AUTO_RECONCILE_OR_LOW_RISK_REVIEW,LED-0000158,BNK-00000174
INV-2026-000186,exact,AUTO_RECONCILE,LED-0000159,BNK-00000175
INV-2026-000187,exact,AUTO_RECONCILE,LED-0000160,BNK-00000176
INV-2026-000188,unpaid,NO_BANK_PAYMENT_EXPECTED,,
INV-2026-000189,amount_mismatch,MANUAL_REVIEW_AMOUNT_MISMATCH,LED-0000161,BNK-00000177
INV-2026-000190,bank_fee,REVIEW_POSSIBLE_BANK_FEE,LED-0000162,BNK-00000178
INV-2026-000191,exact,AUTO_RECONCILE,LED-0000163,BNK-00000179
INV-2026-000192,name_variation,AUTO_RECONCILE_OR_LOW_RISK_REVIEW,LED-0000164,BNK-00000180
INV-2026-000193,missing_ledger,FLAG_MISSING_LEDGER_ENTRY,,BNK-00000181
INV-2026-000194,name_variation,AUTO_RECONCILE_OR_LOW_RISK_REVIEW,LED-0000165,BNK-00000182
INV-2026-000195,exact,AUTO_RECONCILE,LED-0000166,BNK-00000183
INV-2026-000196,amount_mismatch,MANUAL_REVIEW_AMOUNT_MISMATCH,LED-0000167,BNK-00000184
INV-2026-000197,exact,AUTO_RECONCILE,LED-0000168,BNK-00000185
INV-2026-000198,exact,AUTO_RECONCILE,LED-0000169,BNK-00000186
INV-2026-000199,unpaid,NO_BANK_PAYMENT_EXPECTED,,
INV-2026-000200,name_variation,AUTO_RECONCILE_OR_LOW_RISK_REVIEW,LED-0000170,BNK-00000187
INV-2026-000201,name_variation,AUTO_RECONCILE_OR_LOW_RISK_REVIEW,LED-0000171,BNK-00000188
INV-2026-000202,exact,AUTO_RECONCILE,LED-0000172,BNK-00000189
INV-2026-000203,unpaid,NO_BANK_PAYMENT_EXPECTED,,
INV-2026-000204,name_variation,AUTO_RECONCILE_OR_LOW_RISK_REVIEW,LED-0000173,BNK-00000190
INV-2026-000205,exact,AUTO_RECONCILE,LED-0000174,BNK-00000191
INV-2026-000206,amount_mismatch,MANUAL_REVIEW_AMOUNT_MISMATCH,LED-0000175,BNK-00000192
INV-2026-000207,unpaid,NO_BANK_PAYMENT_EXPECTED,,
INV-2026-000208,exact,AUTO_RECONCILE,LED-0000176,BNK-00000193
INV-2026-000209,exact,AUTO_RECONCILE,LED-0000177,BNK-00000194
INV-2026-000210,exact,AUTO_RECONCILE,LED-0000178,BNK-00000195
INV-2026-000211,name_variation,AUTO_RECONCILE_OR_LOW_RISK_REVIEW,LED-0000179,BNK-00000196
INV-2026-000212,date_shift,INVESTIGATE_DATE_DIFFERENCE,LED-0000180,BNK-00000197
INV-2026-000213,exact,AUTO_RECONCILE,LED-0000181,BNK-00000198
INV-2026-000214,unpaid,NO_BANK_PAYMENT_EXPECTED,,
INV-2026-000215,exact,AUTO_RECONCILE,LED-0000182,BNK-00000199
INV-2026-000216,exact,AUTO_RECONCILE,LED-0000183,BNK-00000200
INV-2026-000217,exact,AUTO_RECONCILE,LED-0000184,BNK-00000201
INV-2026-000218,bank_fee,REVIEW_POSSIBLE_BANK_FEE,LED-0000185,BNK-00000202
INV-2026-000219,missing_ledger,FLAG_MISSING_LEDGER_ENTRY,,BNK-00000203
INV-2026-000220,exact,AUTO_RECONCILE,LED-0000186,BNK-00000204
INV-2026-000221,missing_ledger,FLAG_MISSING_LEDGER_ENTRY,,BNK-00000205
INV-2026-000222,exact,AUTO_RECONCILE,LED-0000187,BNK-00000206
INV-2026-000223,exact,AUTO_RECONCILE,LED-0000188,BNK-00000207
INV-2026-000224,exact,AUTO_RECONCILE,LED-0000189,BNK-00000208
INV-2026-000225,unpaid,NO_BANK_PAYMENT_EXPECTED,,
INV-2026-000226,duplicate_payment,FLAG_DUPLICATE_PAYMENT,LED-0000190,BNK-00000209|BNK-00000210
INV-2026-000227,date_shift,INVESTIGATE_DATE_DIFFERENCE,LED-0000191,BNK-00000211
INV-2026-000228,exact,AUTO_RECONCILE,LED-0000192,BNK-00000212
INV-2026-000229,exact,AUTO_RECONCILE,LED-0000193,BNK-00000213
INV-2026-000230,exact,AUTO_RECONCILE,LED-0000194,BNK-00000214
INV-2026-000231,exact,AUTO_RECONCILE,LED-0000195,BNK-00000215
INV-2026-000232,exact,AUTO_RECONCILE,LED-0000196,BNK-00000216
INV-2026-000233,name_variation,AUTO_RECONCILE_OR_LOW_RISK_REVIEW,LED-0000197,BNK-00000217
INV-2026-000234,exact,AUTO_RECONCILE,LED-0000198,BNK-00000218
INV-2026-000235,amount_mismatch,MANUAL_REVIEW_AMOUNT_MISMATCH,LED-0000199,BNK-00000219
INV-2026-000236,duplicate_payment,FLAG_DUPLICATE_PAYMENT,LED-0000200,BNK-00000220|BNK-00000221
INV-2026-000237,exact,AUTO_RECONCILE,LED-0000201,BNK-00000222
INV-2026-000238,exact,AUTO_RECONCILE,LED-0000202,BNK-00000223
INV-2026-000239,amount_mismatch,MANUAL_REVIEW_AMOUNT_MISMATCH,LED-0000203,BNK-00000224
INV-2026-000240,unpaid,NO_BANK_PAYMENT_EXPECTED,,
INV-2026-000241,exact,AUTO_RECONCILE,LED-0000204,BNK-00000225
INV-2026-000242,exact,AUTO_RECONCILE,LED-0000205,BNK-00000226
INV-2026-000243,date_shift,INVESTIGATE_DATE_DIFFERENCE,LED-0000206,BNK-00000227
INV-2026-000244,exact,AUTO_RECONCILE,LED-0000207,BNK-00000228
INV-2026-000245,amount_mismatch,MANUAL_REVIEW_AMOUNT_MISMATCH,LED-0000208,BNK-00000229
INV-2026-000246,missing_ledger,FLAG_MISSING_LEDGER_ENTRY,,BNK-00000230
INV-2026-000247,exact,AUTO_RECONCILE,LED-0000209,BNK-00000231
INV-2026-000248,name_variation,AUTO_RECONCILE_OR_LOW_RISK_REVIEW,LED-0000210,BNK-00000232
INV-2026-000249,date_shift,INVESTIGATE_DATE_DIFFERENCE,LED-0000211,BNK-00000233
INV-2026-000250,duplicate_payment,FLAG_DUPLICATE_PAYMENT,LED-0000212,BNK-00000234|BNK-00000235
INV-2026-000251,duplicate_payment,FLAG_DUPLICATE_PAYMENT,LED-0000213,BNK-00000236|BNK-00000237
INV-2026-000252,name_variation,AUTO_RECONCILE_OR_LOW_RISK_REVIEW,LED-0000214,BNK-00000238
INV-2026-000253,name_variation,AUTO_RECONCILE_OR_LOW_RISK_REVIEW,LED-0000215,BNK-00000239
INV-2026-000254,exact,AUTO_RECONCILE,LED-0000216,BNK-00000240
INV-2026-000255,amount_mismatch,MANUAL_REVIEW_AMOUNT_MISMATCH,LED-0000217,BNK-00000241
INV-2026-000256,exact,AUTO_RECONCILE,LED-0000218,BNK-00000242
INV-2026-000257,exact,AUTO_RECONCILE,LED-0000219,BNK-00000243
INV-2026-000258,exact,AUTO_RECONCILE,LED-0000220,BNK-00000244
INV-2026-000259,date_shift,INVESTIGATE_DATE_DIFFERENCE,LED-0000221,BNK-00000245
INV-2026-000260,exact,AUTO_RECONCILE,LED-0000222,BNK-00000246
INV-2026-000261,unpaid,NO_BANK_PAYMENT_EXPECTED,,
INV-2026-000262,unpaid,NO_BANK_PAYMENT_EXPECTED,,
INV-2026-000263,exact,AUTO_RECONCILE,LED-0000223,BNK-00000247
INV-2026-000264,missing_ledger,FLAG_MISSING_LEDGER_ENTRY,,BNK-00000248
INV-2026-000265,exact,AUTO_RECONCILE,LED-0000224,BNK-00000249
INV-2026-000266,unpaid,NO_BANK_PAYMENT_EXPECTED,,
INV-2026-000267,amount_mismatch,MANUAL_REVIEW_AMOUNT_MISMATCH,LED-0000225,BNK-00000250
INV-2026-000268,exact,AUTO_RECONCILE,LED-0000226,BNK-00000251
INV-2026-000269,exact,AUTO_RECONCILE,LED-0000227,BNK-00000252
INV-2026-000270,exact,AUTO_RECONCILE,LED-0000228,BNK-00000253
INV-2026-000271,exact,AUTO_RECONCILE,LED-0000229,BNK-00000254
INV-2026-000272,bank_fee,REVIEW_POSSIBLE_BANK_FEE,LED-0000230,BNK-00000255
INV-2026-000273,exact,AUTO_RECONCILE,LED-0000231,BNK-00000256
INV-2026-000274,unpaid,NO_BANK_PAYMENT_EXPECTED,,
INV-2026-000275,unpaid,NO_BANK_PAYMENT_EXPECTED,,
INV-2026-000276,exact,AUTO_RECONCILE,LED-0000232,BNK-00000257
INV-2026-000277,exact,AUTO_RECONCILE,LED-0000233,BNK-00000258
INV-2026-000278,amount_mismatch,MANUAL_REVIEW_AMOUNT_MISMATCH,LED-0000234,BNK-00000259
INV-2026-000279,exact,AUTO_RECONCILE,LED-0000235,BNK-00000260
INV-2026-000280,exact,AUTO_RECONCILE,LED-0000236,BNK-00000261
INV-2026-000281,exact,AUTO_RECONCILE,LED-0000237,BNK-00000262
INV-2026-000282,exact,AUTO_RECONCILE,LED-0000238,BNK-00000263
INV-2026-000283,date_shift,INVESTIGATE_DATE_DIFFERENCE,LED-0000239,BNK-00000264
INV-2026-000284,exact,AUTO_RECONCILE,LED-0000240,BNK-00000265
INV-2026-000285,amount_mismatch,MANUAL_REVIEW_AMOUNT_MISMATCH,LED-0000241,BNK-00000266
INV-2026-000286,name_variation,AUTO_RECONCILE_OR_LOW_RISK_REVIEW,LED-0000242,BNK-00000267
INV-2026-000287,split_payment,RECONCILE_SPLIT_PAYMENT,LED-0000243,BNK-00000268|BNK-00000269
INV-2026-000288,exact,AUTO_RECONCILE,LED-0000244,BNK-00000270
INV-2026-000289,unpaid,NO_BANK_PAYMENT_EXPECTED,,
INV-2026-000290,exact,AUTO_RECONCILE,LED-0000245,BNK-00000271
INV-2026-000291,duplicate_payment,FLAG_DUPLICATE_PAYMENT,LED-0000246,BNK-00000272|BNK-00000273
INV-2026-000292,exact,AUTO_RECONCILE,LED-0000247,BNK-00000274
INV-2026-000293,unpaid,NO_BANK_PAYMENT_EXPECTED,,
INV-2026-000294,split_payment,RECONCILE_SPLIT_PAYMENT,LED-0000248,BNK-00000275|BNK-00000276
INV-2026-000295,duplicate_payment,FLAG_DUPLICATE_PAYMENT,LED-0000249,BNK-00000277|BNK-00000278
INV-2026-000296,exact,AUTO_RECONCILE,LED-0000250,BNK-00000279
INV-2026-000297,split_payment,RECONCILE_SPLIT_PAYMENT,LED-0000251,BNK-00000280|BNK-00000281
INV-2026-000298,name_variation,AUTO_RECONCILE_OR_LOW_RISK_REVIEW,LED-0000252,BNK-00000282
INV-2026-000299,missing_ledger,FLAG_MISSING_LEDGER_ENTRY,,BNK-00000283
INV-2026-000300,exact,AUTO_RECONCILE,LED-0000253,BNK-00000284
INV-2026-000301,exact,AUTO_RECONCILE,LED-0000254,BNK-00000285
INV-2026-000302,name_variation,AUTO_RECONCILE_OR_LOW_RISK_REVIEW,LED-0000255,BNK-00000286
INV-2026-000303,name_variation,AUTO_RECONCILE_OR_LOW_RISK_REVIEW,LED-0000256,BNK-00000287
INV-2026-000304,exact,AUTO_RECONCILE,LED-0000257,BNK-00000288
INV-2026-000305,duplicate_payment,FLAG_DUPLICATE_PAYMENT,LED-0000258,BNK-00000289|BNK-00000290
INV-2026-000306,exact,AUTO_RECONCILE,LED-0000259,BNK-00000291
INV-2026-000307,exact,AUTO_RECONCILE,LED-0000260,BNK-00000292
